product id,product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
694,Russet Potatoes,8.99,8.99,5.99,5.99
695,Rutabaga,,6.28,,4.52
696,Sage,3.29,3.29,2.99,
697,Salad Kit Chopped Sesame Wonton,6.99,6.99,6.99,
698,Salad Kit Sweet Kale Club Size,8.99,8.99,,
699,Salted California Pistachios,6.49,6.49,5.99,5.99
700,Salted Virginia Peanuts,4.99,,,3.99
701,"Salted, Dry Roasted California Pistachios",,26.99,,
702,Savory,,,2.99,
703,Savoy Cabbage,5.35,5.35,,4.28
704,Scotch Bonnet Hot Peppers,,,,4.99
705,Sea Salt Pistachios,7.99,,7.99,7.99
706,Seafood Vinaigrette Salad,,,4.58,4.58
707,Seeded Watermelon Halves,,,7.99,
708,Seedless Lemons,,,5.99,5.99
709,Seedless Mandarins,,0.82,,
710,Seedless Watermelon Halves,,,7.0,7.0
711,Seedless Watermelon Sliced,,,3.79,
712,Shallots,,,5.99,5.99
713,Shanghai Bok Choy,4.63,,4.22,4.22
714,Shanghai Bok Choy Jr.,6.6,6.6,,3.95
715,Shishito Peppers,,,,4.99
716,"Shrimp & Bacon Caesar Salad, Mini",,5.0,,
717,Sliced and Whole Bistro Blend Mushrooms,,,6.99,6.99
718,Small Cubed Cantaloupe,,,6.0,6.0
719,"Smoothie, Green Vibes",,,8.99,8.99
720,"Snack Cup, Veggies & Dip",6.0,6.0,,
721,Snack Platter,8.0,8.0,8.0,
722,Snack Platter Vegetables,6.0,,6.0,
723,Snap Peas,5.99,5.99,5.99,8.99
724,Snow Peas,5.99,5.99,5.99,4.99
725,Solo Papaya,7.99,7.99,,
726,"Sonata, Sweet Mini Peppers",,,3.99,3.99
727,Sour Cabbage Head,11.74,11.74,,
728,Southwest Ranch Veggie Dip,1.49,1.49,,1.49
729,Southwest Salad Kit,6.99,6.99,6.99,
730,"Southwestern Chicken Salad, Family Size",,17.0,,17.0
731,Southwestern Iceberg Salad with Chicken,,,17.0,
732,Soy Sprouts,,1.99,,
733,Spaghetti Squash,8.3,8.3,8.3,8.3
734,Spanish Onion,,,1.81,1.81
735,Spartan Apples,,,7.99,7.99
736,Spicy Mustard Medley,,,4.79,4.79
737,Spinach Veggie Dip,,,1.29,
