product name,"Brewery Dist, Edmonton","Lonsdale, Vancouver","Mcarthur, Ottawa","Mclaughlin, Toronto"
Pink Lady Apples,1.38,1.38,1.61,1.61
Pink Lady Apples 5lb Bag,11.99,11.99,,
Pistachios Lightly Salted,12.99,,,11.99
Pistachios No Shells Chili Roasted,9.99,9.99,,8.99
Pistachios No Shells Honey Roasted,,,8.99,8.99
Pistachios No Shells Roasted Light Salt,9.99,9.99,8.99,
"Pistachios, Roasted & Unsalted",,,,6.49
"Pistachios, Salt & Pepper",,6.99,,6.49
Pitted Honey Dates,7.99,7.99,6.99,6.99
Plant-Based Collagen Booster Glow,,,3.99,3.99
"Plantains, Single",1.16,1.16,,
Poblano Hot Peppers,5.99,,4.99,4.99
Pomegranate,4.99,4.99,3.99,3.99
Pomegranate Juice,,9.99,,9.99
Popeye Baby Spinach Mix,4.49,4.49,,
Popeye Select Spinach,11.99,11.99,11.99,11.99
Poppyseed Pouch 44Ml,,,0.59,0.59
Potato Baking Tray,4.99,4.99,,4.99
Potato Salad New Orleans,,,2.29,2.29
Premium Baby Spinach With Chicken,9,9,9,
Premium Baby Spinach With Fruit & Nuts,9,9,,
Premium Caesar Salad,,9,,9
Premium Chicken BLT,9,9,9,9
Premium Chicken Caesar Salad,9,9,,9
Premium Garden Veg Romaine,9,,9,9
Premium Garden Vegetable Spring Mix With Chicken Salad,9,,,
Premium Garden Vegetable With Cheese,9,,9,
Premium Greek Classic,9,9,9,9
Premium Large Vetable Platter (Minimum 24 Hours Notice Required),40,,40,
Premium Radicchio,9,,,
Premium Sweet Kale Power Salad,9,,9,
Premium Taco Salad,,,,9
Probiotic Hydrator Blue Lemonade,,,4.99,
Pumpernickel Snack,,,6,
Purple Eggplants,3.76,3.76,3.13,3.13
Radicchio Lettuce,3.41,3.41,3.41,
Radicchio Treviso,,,11,11
Radish,3.99,3.99,2.99,2.99
Radishes,2.69,2.69,2.49,2.49
Ranch Pouch 44Ml,0.59,0.59,0.59,0.59
Ranch Refrigerated Dip,,5.99,5.99,5.99
Rapini,,4.99,3.99,3.99
Raspberries 1/2 pint,5.49,5.49,,
Raspberry Banana Parfait,5,5,5,
Raspberry Pint,8.99,,7.99,7.99
"Raw, Organic Juice Deep Roots",,,7.99,7.99
"Raw, Organic Juice Farma-C",,,,7.99
"Raw, Organic Juice Gatsby",,,7.99,
"Raw, Organic Juice the Good",,,7.99,
"Raw, Unsalted Pumpkin Seeds",2.29,2.29,2.29,2.29
"Raw, Unsalted Sunflower Seeds",2.29,,2.29,2.29
"Ready Veggie, Kale Blend",5.99,5.99,5.99,
Red Anjou Pears,,,1.54,1.54
"Red Bananas, Bunch",,,3.74,3.74
Red Beets,1.04,1.04,1.04,1.04
"Red Beets, Bunched",4.99,,4.99,4.99
Red Cabbage,5.84,5.84,4.96,4.96
Red Cherries,13.71,13.71,7.83,7.83
Red Delicious Apples,1.38,1.38,1.38,
Red Delicious Apples 3lb Bag,7.99,7.99,,
Red Fresno Hot Peppers,5.99,,,
Red Goodness,6.99,6.99,6.99,6.99
Red Grapefruit,2.99,7.99,2.99,9.99
Red Leaf Lettuce,3.99,3.99,,
Red Onion,2.44,2.44,2.19,2.19
Red Onions,6.99,,5.49,5.49
Red Peppers,2.64,2.64,2.11,2.11
Red Potatoes,6.99,6.99,5.99,5.99
Red Potatoes 10lb Bag,8.49,,6.99,6.99
Red Prince Apple,,,9.99,9.99
Red Seeded Watermelon,,,12.99,12.99
Red Seedless Grapes,13.08,,,
Red Seedless Watermelon,8.99,8.99,7.99,7.99
Red Swiss Chard,4.99,,3.99,3.99
Red Thai Hot Peppers,5.99,5.99,4.99,4.99
Rhubarb,5.99,5.99,6.99,6.99
Roasted Chestnuts,,,,2.99
Roasted Corn & Pepper Quinoa,,,9.62,9.62
Roasted Peanuts In Shell,13.99,,11.99,
"Roasted Peanuts, No Salt",7.99,,6.99,6.99
Roma Tomatoes,0.79,0.79,0.66,0.66
"Romaine Heart, 3 Pack",3.99,3.99,,2.99
Romaine Hearts,9.99,,,9.99
Romaine Lettuce,3.99,3.99,3.49,3.49
Romaine Lettuce Hearts,,7.99,6.99,6.99
Romaine Salad,4.99,4.99,4.49,4.49
Romaine Salad Family Size,15,15,15,15
"Root Harvest Mix (cubed Parsnip, Carrots, Butternut Squash, Yams, Red Onions, Celery)",7,,7,
Rose Spring Salad Mix,,4.99,,
Rosemary,3.29,3.29,2.99,2.99
Royal Gala Apples,1.38,1.38,1.15,1.15
Ruby Little Gems Potatoes,4.99,,4.99,4.99
Russet Potato,2.36,2.36,2.36,2.36
Russet Potatoes,8.99,8.99,5.99,5.99
Rutabaga,,6.28,,4.52
Sage,3.29,3.29,2.99,
Salad Kit Chopped Sesame Wonton,6.99,6.99,6.99,
Salad Kit Sweet Kale Club Size,8.99,8.99,,
Salted California Pistachios,6.49,6.49,5.99,5.99
Salted Virginia Peanuts,4.99,,,3.99
"Salted, Dry Roasted California Pistachios",,26.99,,
Savory,,,2.99,
Savoy Cabbage,5.35,5.35,,4.28
Scotch Bonnet Hot Peppers,,,,4.99
Sea Salt Pistachios,7.99,,7.99,7.99
Seafood Vinaigrette Salad,,,4.58,4.58
Seeded Watermelon Halves,,,7.99,
Seedless Lemons,,,5.99,5.99
Seedless Mandarins,,0.82,,
Seedless Watermelon Halves,,,7,7
Seedless Watermelon Sliced,,,3.79,
Shallots,,,5.99,5.99
Shanghai Bok Choy,4.63,,4.22,4.22
Shanghai Bok Choy Jr.,6.6,6.6,,3.95
Shishito Peppers,,,,4.99
"Shrimp & Bacon Caesar Salad, Mini",,5,,
Sliced and Whole Bistro Blend Mushrooms,,,6.99,6.99
Small Cubed Cantaloupe,,,6,6
"Smoothie, Green Vibes",,,8.99,8.99
"Snack Cup, Veggies & Dip",6,6,,
Snack Platter,8,8,8,
Snack Platter Vegetables,6,,6,
Snap Peas,5.99,5.99,5.99,8.99
Snow Peas,5.99,5.99,5.99,4.99
Solo Papaya,7.99,7.99,,
"Sonata, Sweet Mini Peppers",,,3.99,3.99
Sour Cabbage Head,11.74,11.74,,
Southwest Ranch Veggie Dip,1.49,1.49,,1.49
Southwest Salad Kit,6.99,6.99,6.99,
"Southwestern Chicken Salad, Family Size",,17,,17
Southwestern Iceberg Salad with Chicken,,,17,
Soy Sprouts,,1.99,,
Spaghetti Squash,8.3,8.3,8.3,8.3
Spanish Onion,,,1.81,1.81
Spartan Apples,,,7.99,7.99
Spicy Mustard Medley,,,4.79,4.79
Spinach Veggie Dip,,,1.29,
"Spinach, Bunched",2.99,2.99,3.49,3.49
Spring Herb Vinagrette Pouch,,,,0.59
Spring Mix,4.99,4.99,4.99,6.49
Spring Mix Salad with Toppings Single Sized,6.99,6.99,5.99,5.99
Star Fruit,,,2.99,2.99
Steak & Blue Cheese Salad,,,9,
Steak & Egg Salad,9,,,
"Steak & Egg Salad, Family Size",19,,,
"Steak and Blue Cheese Salad, Large",,,13,
"Stir Fry Vegetable Mix (Peppers,Mushrooms & Onion Mix)",6,6,6,
Strawberries 1LB,6.49,6.49,,
Strawberries 2LB,9.99,9.99,8.99,8.99
Strawberries Small,6,,,
Strawberry Banana,9.99,6.99,4.99,4.99
Strawberry Parfait,5,5,5,5
Sugar Snap Peas  ,10.99,10.99,,
Sun Rich Sliced Red Apples,6,,,6
Sundried Tomatoes,,,2.99,
Sunflower Bacon Crunch Chopped Salad Kit,6.99,6.99,6.99,6.99
Suntech Tomato,,,1.76,
Super Tea Pomegranate Peach Passion White Tea,11.99,11.99,11.99,11.99
Sweet Baby Cauliflower,,,3.99,3.99
Sweet Baby Lettuce,,,4.99,4.99
Sweet Broccoli Tender Stems,,,5.99,
Sweet Cauliflower Tender Stems,,,5.99,
Sweet Chili Refrigerated Dip,5.99,5.99,5.99,5.99
Sweet Green Peppers,3.08,3.08,2.46,2.46
Sweet Kale,9,9,,
Sweet Kale Salad Family Size,,17,17,17
Sweet Kale Salad Kit,6.49,6.49,5.99,5.99
Sweet Nantes Carrots,,,3.99,3.99
Sweet Onion,3.03,3.03,2.73,2.73
"Sweet Onion Vinaigrette, Pouch",,,0.59,0.59
Sweet Potato,3.46,3.46,2.49,2.49
Sweet Potato Crinkle Fries,,,7,
Sweet Potatoes,9.99,9.99,5.99,5.99
Taiwanese Flat Cabbage,3.97,,,4.96
Tamarinds,5.99,,5.99,5.99
"Taro Root, Medium",,,16.46,16.46
Tarragon,3.29,3.29,,2.99
The Built,,,,12
The Chop,,,,12
Thyme,3.29,3.29,2.99,2.99
Tiffany Gate Feta Fiesta Kale Salad,,,2.29,2.29
Tiffany Gate Golden Chickpea Salad,,2.29,,
Tiffany Gate Italian Gemelli Salad,,,2.29,
Tomato Beefsteak Red,1.47,1.47,1.47,1.47
Tomato Bocconcini Salad,9,,,
Tomato Grape Cherub,6.99,,,
Tomato On The Vine Red (1 Bunch),4.68,4.68,2.33,2.33
Tomato Sugar Bomb,,,6.99,6.99
Tomatoes,,,6.99,
Turkish Pearl Couscous Salad,,,5.61,5.61
Turmeric,,,4.32,4.32
Turnips,2.5,,2.92,2.92
Ultraviolet Organic Kombucha,,,9.99,9.99
Unsalted California Pistachios,11.99,11.99,10.99,10.99
Vanilla Chai Tea,,6.99,6.99,6.99
Variety Pack Tomatoes,8.99,8.99,,
Vegetable Medley,8.99,5.49,5.49,5.49
Vegetable Platter Large,,21,21,
"Veggie Dip, Light Ranch",5.99,5.99,5.99,5.99
"Veggie Dip, Ranch",,5.99,5.99,5.99
"Veggie Dip, Ranch Snack Pack",,6.99,6.99,6.99
"Veggie Dip, Southwest Ranch",5.99,5.99,5.99,5.99
"Veggie Dip, Spinach",5.99,5.99,5.99,5.99
"Veggie Platter, Small",,15,,14
Veggie Tripack,14,14,14,
Vero Tomato,,,6.99,6.99
Villagio Marzano Tomatoes,7.99,7.99,,
Washed Lettuce Crispies & Crunchies,5.99,5.99,,
Watercress,3.99,,,2.49
Watermelon Cubed Large,9,9,10,
Watermelon Cubed Small 300G,,6,,6
Watermelon Quarters,,,6.28,
White Flesh Nectarine,1.06,1.06,1.85,1.85
White Mushrooms,0.36,0.36,,
White Onion,2.44,2.44,2.19,2.19
White Peaches,2.31,2.31,2.31,2.31
White Potatoes,2.37,8.49,2.37,2.37
White Yams,,,6.05,6.05
"Wonderful Pistachios, Roasted & Salted",,6.99,6.49,6.49
"Wonderful Pistachios, Shelled",,,,8.99
"Wonderful Pistachios, Sweet Chili",6.99,6.99,,6.49
Yellow Asian Pears,2.46,2.46,2.46,
Yellow Beans,,,,5.99
Yellow Caribe Hot Peppers,,5.99,,
Yellow Dragon Fruit,6.99,,5.99,5.99
Yellow Hot Hot Peppers,,,4.99,4.99
Yellow Mini Potatoes,4.99,4.99,4.99,4.99
Yellow Nectarines,2.16,,,
Yellow Onion,,,1.54,1.54
Yellow Onions,3.49,3.49,2.99,2.99
Yellow Onions Diced,4,,,
Yellow Peaches,3.08,3.08,,
Yellow Potato 10lb Bag,8.49,,,
Yellow Potatoes,6.99,1.78,6.99,6.99
"Yellow Russet Potatoes, 10 Lbs",,,,6.99
Yellow Yams,,,6.05,6.05
Zucchini,1.85,1.85,1.66,1.66
"Zucchini Pepper Kebab, 2 pack",6,,,
"Zucchini Pepper Kebab, 4 pack",10,,,
